g_event_id,sid,time,r_dow,r_hod,a_er_cat,a_app_id,a_campaign_type_id,a_camp_id,a_group_id,r_source_id,c_id,r_site_id,r_site_iab_cats,r_country_id,r_region_code,r_platform,r_network_type,r_traffic_type,c_type,c_cta,c_text,c_size,s_gerry_type,s_caesar_id,response
-4,0,1568671003.07,0,21,1,2249,2,6635,27324,253,6382661,20080263,9,237,,ANDROID,cellular,app,HTML,See Homes,The most homes for sale nationwide,3200480,,,0
-4,0,1568671005.935,0,21,0,1087,2,25179,25179,259,5533185,28109051,9,32,27,ANDROID,wifi,app,VIDEO,,,4800320,,,0
-4,0,1568671207.46,0,22,0,1088,2,25181,25181,74,6371285,28120963,14,32,27,IOS,cellular,app,IMAGE,,,3000250,,,0
-4,0,1568671389.199,0,22,0,930,2,25482,26490,69,6379443,26329784,"1,9,9",32,07,ANDROID,cellular,app,HTML,ABRIR O APP,,3200050,,,0
-4,0,1568671420.207,0,22,0,1933,2,25603,27171,69,6391127,28153864,"14,3",32,27,ANDROID,wifi,app,NATIVE,Compre agora,Cinema + Desconto: Curta os filmes mais esperados!,0,2,,0
-4,0,1568671491.685,0,22,0,2480,2,25624,26946,69,6388802,28014499,"14,3",104,19,ANDROID,cellular,app,HTML,Let's Ride,It's stressful & tiring,3000250,,,0
-4,0,1568671517.326,0,22,0,1061,2,6653,27470,69,6392845,28014499,"14,3",244,44,ANDROID,wifi,app,IMAGE,,,3000250,,,0
-4,0,1568671709.795,0,22,0,2154,2,25476,26459,69,6386377,5140364,"1,1,24",32,21,ANDROID,wifi,app,IMAGE,,,3000250,,,0
-4,0,1568671737.5,0,22,0,1087,2,25179,25179,253,6381399,28046350,9,32,30,ANDROID,wifi,app,IMAGE,,,3200480,,,0
-4,0,1568671802.47,0,22,0,1061,2,25401,27497,69,6381958,27765271,3,106,04,ANDROID,cellular,app,NATIVE,Pesan Sekarang,Cara mudah mencari menulokal sekitar adalah dengan membuka aplikasi GrabFood,0,,,0
-4,0,1568671870.481,0,22,0,1087,2,25179,25835,168,6381399,27386999,"19,19,3",32,21,ANDROID,wifi,app,IMAGE,,,3200480,,,0
-4,0,1568671979.066,0,22,3,2316,2,6590,26951,74,6371885,28121260,1,32,27,ANDROID,cellular,app,IMAGE,,,3200480,2,,0
-4,0,1568672084.746,0,22,0,2154,2,25476,26459,253,6389907,28582441,1,32,,ANDROID,cellular,app,IMAGE,,,3200480,,,0
-4,0,1568672141.729,0,22,0,2213,2,6639,14723,69,6388961,27734524,3,178,F2,ANDROID,cellular,app,NATIVE,Shop Now,₱{product.sale_price} |  {product.title},0,,,0
